split,model,accuracy,log_loss
holdout,elo,0.8059701492537313,0.48492237268493515
holdout,ensemble,0.8432835820895522,0.4383212662009718
holdout,logistic,0.8208955223880597,0.3835690768982984
holdout,rf,0.832089552238806,0.3763776403907942
holdout,xgb,0.8432835820895522,0.39046807615798035
validation,elo,0.7164179104477612,0.5349540163328796
validation,ensemble,0.7201492537313433,0.5269728905337852
validation,logistic,0.7761194029850746,0.476565114085252
validation,rf,0.7425373134328358,0.4936008738812965
validation,xgb,0.6865671641791045,0.5775670563437746
