split,model,accuracy,log_loss
holdout,blend60_40,0.7873134328358209,0.40355094747778786
holdout,blend60_40_clip,0.7873134328358209,0.41150007902745495
holdout,ensemble,0.7947761194029851,0.4115257862236732
holdout,logistic,0.7910447761194029,0.40332365456939767
holdout,logistic_clip,0.7910447761194029,0.4159553390079996
holdout,rf,0.7910447761194029,0.41497966364989664
validation,blend60_40,0.753731343283582,0.46557160471435133
validation,blend60_40_clip,0.753731343283582,0.4732271710407767
validation,ensemble,0.75,0.4902600556276053
validation,logistic,0.7611940298507462,0.4617176789180468
validation,logistic_clip,0.7611940298507462,0.47281825009136375
validation,rf,0.7611940298507462,0.4832463806982083
